*****************************
Basic coeficients
*****************************
Alpha, Cd
  -6.000    ,    .3599E-01
  -4.000    ,    .2712E-01
  -2.000    ,    .2187E-01
    .000    ,    .2121E-01
   2.000    ,    .2435E-01
   4.000    ,    .3174E-01
   6.000    ,    .4408E-01
   8.000    ,    .6015E-01
   10.00    ,    .7855E-01
   12.00    ,    .9933E-01
   14.00    ,    .1190    
   16.00    ,    .1175    

Alpha, CL
  -6.000    ,   -.5176    
  -4.000    ,   -.2901    
  -2.000    ,   -.6920E-01
    .000    ,    .1501    
   2.000    ,    .3770    
   4.000    ,    .6118    
   6.000    ,    .8541    
   8.000    ,    1.090    
   10.00    ,    1.298    
   12.00    ,    1.477    
   14.00    ,    1.596    
   16.00    ,    1.404    

Alpha, Cm
  -6.000    ,    .4016    
  -4.000    ,    .2988    
  -2.000    ,    .1862    
    .000    ,    .7348E-01
   2.000    ,   -.4137E-01
   4.000    ,   -.1590    
   6.000    ,   -.2851    
   8.000    ,   -.4193    
   10.00    ,   -.5648    
   12.00    ,   -.7179    
   14.00    ,   -.7179    
   16.00    ,   -.7179    

Alpha, Cyb
  -6.000    ,   -.3335E-02
  -4.000    ,   -.3335E-02
  -2.000    ,   -.3335E-02
    .000    ,   -.3335E-02
   2.000    ,   -.3335E-02
   4.000    ,   -.3335E-02
   6.000    ,   -.3335E-02
   8.000    ,   -.3335E-02
   10.00    ,   -.3335E-02
   12.00    ,   -.3335E-02
   14.00    ,   -.3335E-02
   16.00    ,   -.3335E-02

Alpha, Cnb
  -6.000    ,    .3180E-02
  -4.000    ,    .3180E-02
  -2.000    ,    .3180E-02
    .000    ,    .3180E-02
   2.000    ,    .3180E-02
   4.000    ,    .3180E-02
   6.000    ,    .3180E-02
   8.000    ,    .3180E-02
   10.00    ,    .3180E-02
   12.00    ,    .3180E-02
   14.00    ,    .3180E-02
   16.00    ,    .3180E-02

Alpha, Clb
  -6.000    ,   -.2768E-02
  -4.000    ,   -.2643E-02
  -2.000    ,   -.2516E-02
    .000    ,   -.2386E-02
   2.000    ,   -.2256E-02
   4.000    ,   -.2126E-02
   6.000    ,   -.1995E-02
   8.000    ,   -.1864E-02
   10.00    ,   -.1729E-02
   12.00    ,   -.1586E-02
   14.00    ,   -.1433E-02
   16.00    ,   -.1245E-02

Alpha, Q_Qinf
  -6.000    ,    .9860    
  -4.000    ,    1.000    
  -2.000    ,    1.000    
    .000    ,    1.000    
   2.000    ,    1.000    
   4.000    ,    1.000    
   6.000    ,    1.000    
   8.000    ,    1.000    
   10.00    ,    1.000    
   12.00    ,    1.000    
   14.00    ,    1.000    
   16.00    ,    1.000    

Alpha, Epslon
  -6.000    ,   -1.457    
  -4.000    ,   -.6945    
  -2.000    ,    .3194E-01
    .000    ,    .7454    
   2.000    ,    1.463    
   4.000    ,    2.183    
   6.000    ,    2.892    
   8.000    ,    3.561    
   10.00    ,    4.135    
   12.00    ,    4.579    
   14.00    ,    4.785    
   16.00    ,    4.488    

Alpha, d_Epslon
  -6.000    ,    .3812    
  -4.000    ,    .3722    
  -2.000    ,    .3600    
    .000    ,    .3577    
   2.000    ,    .3595    
   4.000    ,    .3574    
   6.000    ,    .3444    
   8.000    ,    .3107    
   10.00    ,    .2546    
   12.00    ,    .1625    
   14.00    ,   -.2286E-01
   16.00    ,   -.1487    

Alpha, CLq
  -6.000    ,    .2606    
  -4.000    ,    .2606    
  -2.000    ,    .2606    
    .000    ,    .2606    
   2.000    ,    .2606    
   4.000    ,    .2606    
   6.000    ,    .2606    
   8.000    ,    .2606    
   10.00    ,    .2606    
   12.00    ,    .2606    
   14.00    ,    .2606    
   16.00    ,    .2606    

Alpha, Cmq
  -6.000    ,   -.7926    
  -4.000    ,   -.7926    
  -2.000    ,   -.7926    
    .000    ,   -.7926    
   2.000    ,   -.7926    
   4.000    ,   -.7926    
   6.000    ,   -.7926    
   8.000    ,   -.7926    
   10.00    ,   -.7926    
   12.00    ,   -.7926    
   14.00    ,   -.7926    
   16.00    ,   -.7926    

Alpha, CLad_Basic
  -6.000    ,    .7537E-01
  -4.000    ,    .7463E-01
  -2.000    ,    .7217E-01
    .000    ,    .7172E-01
   2.000    ,    .7207E-01
   4.000    ,    .7165E-01
   6.000    ,    .6904E-01
   8.000    ,    .6229E-01
   10.00    ,    .5105E-01
   12.00    ,    .3259E-01
   14.00    ,   -.4584E-02
   16.00    ,   -.2982E-01

Alpha, Cmad_Basic
  -6.000    ,   -.2974    
